RatingID,UserID,ContentID,Rating,Timestamp
1,938332,1703,4,8/31/2024 16:20
2,67609,3667,4,9/9/2024 11:59
3,409680,4838,2,1/9/2024 4:17
4,399412,2312,4,3/11/2024 21:21
5,293275,1559,3,1/5/2024 18:10
6,131920,1229,5,5/1/2024 7:30
7,562320,628,5,2/29/2024 11:04
8,11002,1304,2,5/12/2024 8:59
9,329933,1305,5,5/6/2024 18:09
10,871699,2118,1,8/19/2024 8:52
11,408481,3110,3,4/24/2024 14:35
12,901912,4076,4,6/18/2024 3:38
13,882517,1092,4,1/1/2024 5:39
14,130688,4460,1,9/3/2024 18:17
15,29995,3885,1,7/15/2024 19:57
16,555608,1609,1,7/21/2024 19:54
17,812429,2910,1,8/10/2024 8:21
18,593820,4493,1,1/1/2024 8:18
19,32430,4913,5,3/26/2024 8:39
20,844836,735,4,1/5/2024 10:26
21,771303,4064,3,2/14/2024 21:59
22,281593,4450,4,2/1/2024 21:49
23,503377,1574,5,9/6/2024 14:47
24,292116,821,2,9/9/2024 16:15
25,378861,4368,1,7/17/2024 21:13
26,410884,1146,1,6/4/2024 2:50
27,784390,3916,2,2/23/2024 10:04
28,482376,834,5,11/4/2024 22:21
29,211955,4699,5,10/11/2024 11:08
30,644509,3100,2,6/29/2024 20:09
31,384543,1830,1,8/13/2024 5:40
32,968121,3720,3,1/17/2024 19:32
33,918181,2158,2,10/30/2024 22:34
34,490370,402,5,1/29/2024 1:19
35,245589,2520,1,10/2/2024 15:08
36,745284,596,1,6/16/2024 20:03
37,758304,2348,3,11/23/2024 0:08
38,595358,2144,2,8/9/2024 4:10
39,853364,4783,5,11/24/2024 3:43
40,70191,1022,3,3/16/2024 19:36
41,772812,1009,3,3/2/2024 6:21
42,442200,3611,2,5/11/2024 16:35
43,949114,4016,1,3/25/2024 15:28
44,696113,2967,3,7/29/2024 12:40
45,440441,3571,5,3/31/2024 1:33
46,966361,3832,4,11/6/2024 5:57
47,320531,2175,4,12/1/2024 23:44
48,177680,4488,2,6/3/2024 2:14
49,851028,811,5,2/14/2024 3:35
50,184666,12,5,5/21/2024 9:28
51,597091,3029,4,4/30/2024 23:32
52,398785,878,5,4/8/2024 0:05
53,503266,2440,5,11/21/2024 10:01
54,840716,3014,3,7/8/2024 15:29
55,351747,2686,5,6/5/2024 5:26
56,55945,1320,3,11/6/2024 4:08
57,993872,2352,3,2/6/2024 2:43
58,316221,2927,2,4/29/2024 18:25
59,36538,2147,1,7/30/2024 21:53
60,987482,2552,5,7/2/2024 21:12
61,627422,3688,2,10/9/2024 10:12
62,971363,1915,3,5/5/2024 16:24
63,906406,3005,1,7/6/2024 13:03
64,746961,1578,3,9/19/2024 1:20
65,989956,2885,1,7/3/2024 2:44
66,381619,220,2,2/17/2024 23:07
67,551423,2263,5,8/3/2024 5:47
68,312228,4331,3,11/15/2024 13:11
69,986161,2384,5,4/7/2024 3:34
70,253342,1928,3,8/19/2024 2:48
71,452656,4802,1,11/21/2024 5:35
72,653896,365,2,8/24/2024 15:21
73,216884,2626,5,2/1/2024 9:29
74,141466,818,1,4/17/2024 2:16
75,769358,4922,2,1/29/2024 13:22
76,641022,4075,4,8/13/2024 6:45
77,339807,4280,1,5/10/2024 0:27
78,163502,2194,2,10/24/2024 17:59
79,889845,1995,2,10/14/2024 8:32
80,360498,2981,2,3/23/2024 0:27
81,497150,403,4,1/3/2024 8:45
82,131728,137,4,11/9/2024 14:56
83,383568,421,1,4/6/2024 13:01
84,718388,1515,1,9/2/2024 13:18
85,758903,3148,1,7/30/2024 6:02
86,291117,4199,4,5/1/2024 9:45
87,782737,496,2,2/28/2024 6:58
88,242073,400,1,5/25/2024 17:26
89,950112,2821,1,10/23/2024 1:00
90,835296,3528,5,4/10/2024 9:05
91,286751,535,3,2/3/2024 1:05
92,487272,3162,5,9/2/2024 21:48
93,768544,1058,4,2/25/2024 3:15
94,303975,1895,3,7/4/2024 3:09
95,810847,462,3,6/20/2024 9:03
96,550951,2092,2,8/18/2024 4:17
97,763554,1801,1,8/19/2024 12:09
98,30167,3098,1,9/16/2024 5:01
99,158871,486,1,3/20/2024 14:07
100,395822,2244,3,11/14/2024 22:09
101,649325,4602,2,7/15/2024 14:51
102,23924,1648,2,4/4/2024 8:02
103,374390,3721,2,9/6/2024 23:00
104,934914,4467,1,2/16/2024 17:19
105,910573,315,4,11/24/2024 1:59
106,220604,4619,2,2/5/2024 8:57
107,301552,2881,5,7/15/2024 8:31
108,792768,1480,1,10/19/2024 3:43
109,430483,602,2,11/13/2024 6:14
110,704492,2591,2,6/14/2024 14:02
111,768528,2336,5,10/20/2024 21:09
112,446902,1601,5,1/19/2024 2:06
113,523163,4106,1,9/5/2024 1:16
114,596868,2254,3,11/2/2024 13:41
115,902210,2489,5,6/13/2024 0:10
116,548893,1604,4,4/28/2024 23:28
117,195844,2329,1,9/10/2024 15:02
118,234709,52,4,2/29/2024 18:48
119,290811,1925,3,5/6/2024 12:36
120,729460,4805,5,10/25/2024 22:15
121,515772,4068,1,3/22/2024 10:44
122,418936,3112,5,1/4/2024 19:00
123,979062,2374,5,1/27/2024 23:52
124,735708,2164,3,1/4/2024 10:56
125,795092,4269,2,11/30/2024 19:43
126,895829,4162,4,9/26/2024 0:51
127,264038,1292,1,5/4/2024 17:18
128,866913,4207,4,8/24/2024 14:17
129,759642,3230,5,8/2/2024 2:25
130,767232,2470,1,8/4/2024 21:54
131,47747,2232,5,1/19/2024 11:11
132,371884,749,1,1/5/2024 14:41
133,138264,370,5,4/19/2024 13:32
134,331611,2771,5,6/5/2024 21:23
135,243431,2959,4,8/24/2024 4:40
136,306819,4315,1,5/12/2024 3:47
137,366403,4391,5,6/5/2024 0:06
138,107378,3901,1,11/27/2024 13:44
139,950903,2932,1,2/2/2024 7:20
140,777093,1686,3,2/17/2024 11:20
141,364546,718,2,7/19/2024 2:49
142,267210,3952,3,3/28/2024 4:56
143,779007,2436,1,7/18/2024 4:27
144,736036,822,4,8/26/2024 13:56
145,134775,169,5,2/22/2024 7:02
146,790814,317,3,3/1/2024 7:07
147,213092,4353,1,7/16/2024 20:46
148,849019,4723,1,1/15/2024 14:32
149,673323,1921,4,2/1/2024 9:14
150,731386,3214,4,11/7/2024 18:33
151,188323,276,4,4/28/2024 13:55
152,928197,2686,5,5/6/2024 9:58
153,671795,4505,3,11/4/2024 13:00
154,727982,1092,1,5/22/2024 17:23
155,160251,2708,4,10/31/2024 3:52
156,286667,2348,3,7/26/2024 9:15
157,409728,1372,2,8/18/2024 14:07
158,146114,2318,1,5/31/2024 7:07
159,716979,3883,4,8/25/2024 2:12
160,551588,3271,1,8/13/2024 15:47
161,909704,2287,3,10/29/2024 23:48
162,947630,4202,3,11/14/2024 7:22
163,758949,56,1,1/23/2024 10:38
164,906800,4769,4,3/24/2024 17:55
165,811224,3687,3,10/31/2024 17:56
166,253524,1305,2,8/25/2024 14:04
167,353210,3866,3,6/7/2024 14:56
168,102308,3578,5,11/17/2024 12:42
169,31366,3037,5,8/6/2024 13:56
170,507302,296,3,11/25/2024 11:00
171,811602,4119,2,8/18/2024 8:58
172,833349,4897,2,2/3/2024 16:14
173,739782,1491,1,5/4/2024 8:11
174,983175,224,5,12/2/2024 12:12
175,481025,2086,2,9/1/2024 8:28
176,182192,3653,1,7/5/2024 1:05
177,213587,3827,2,3/16/2024 8:17
178,78442,1493,4,10/24/2024 16:14
179,878219,2893,2,2/13/2024 2:05
180,585348,1201,1,1/29/2024 7:02
181,139093,4949,5,8/14/2024 12:37
182,924727,452,4,8/29/2024 23:48
183,545265,90,3,8/25/2024 13:17
184,314476,1556,3,5/22/2024 21:35
185,743216,2064,1,9/9/2024 21:17
186,32066,2821,5,3/15/2024 5:34
187,595665,198,3,1/28/2024 7:39
188,4599,4716,5,9/8/2024 4:16
189,456760,3865,1,1/4/2024 19:44
190,980281,4239,4,3/17/2024 8:26
191,356245,4666,3,11/13/2024 2:16
192,179028,1175,2,4/4/2024 0:10
193,41394,1030,5,10/7/2024 9:15
194,573087,2138,3,9/12/2024 14:19
195,985979,1200,4,5/12/2024 23:02
196,401422,3166,1,6/6/2024 11:11
197,71870,1231,4,2/2/2024 3:29
198,294418,59,1,3/10/2024 5:47
199,346291,4451,3,1/19/2024 3:47
200,576196,573,5,11/13/2024 20:58
201,762041,1640,5,1/2/2024 1:52
202,695862,2944,2,5/4/2024 23:33
203,697173,1753,2,10/9/2024 22:31
204,214035,4446,2,3/15/2024 15:09
205,12573,3468,4,4/20/2024 10:03
206,296407,465,3,3/4/2024 11:01
207,254645,4477,1,10/22/2024 1:18
208,305565,4395,4,1/15/2024 20:07
209,726121,2570,3,8/9/2024 0:22
210,844386,2135,1,8/25/2024 20:59
211,489209,2780,1,8/28/2024 20:30
212,985945,1116,5,3/6/2024 11:22
213,937876,1194,3,5/17/2024 18:58
214,81462,2831,1,8/11/2024 2:55
215,374589,3711,4,4/13/2024 12:50
216,30822,4887,1,11/15/2024 17:53
217,178479,1579,1,9/16/2024 7:20
218,917946,3017,3,5/20/2024 22:11
219,60762,3651,2,1/17/2024 14:23
220,24650,2661,2,1/9/2024 11:33
221,910914,955,3,12/1/2024 14:05
222,20205,1748,2,9/3/2024 9:05
223,379110,3806,4,1/5/2024 13:00
224,216201,3480,5,5/20/2024 17:46
225,634952,636,3,10/30/2024 0:58
226,331901,2746,4,8/22/2024 16:37
227,51319,11,5,4/15/2024 17:19
228,645943,2446,1,10/6/2024 1:12
229,852105,3059,4,10/9/2024 3:18
230,633257,1319,3,8/11/2024 23:47
231,152498,1599,4,3/30/2024 3:51
232,294452,3326,1,3/12/2024 8:49
233,124929,922,5,1/14/2024 21:14
234,565801,3427,1,5/28/2024 18:40
235,638,274,2,5/25/2024 21:01
236,32613,1181,2,10/6/2024 23:48
237,113998,785,4,4/23/2024 2:07
238,115183,1835,2,9/13/2024 8:32
239,725360,4005,4,3/16/2024 15:04
240,901113,1730,3,9/1/2024 16:35
241,103801,3946,5,9/23/2024 10:44
242,980556,1092,3,4/9/2024 20:58
243,570136,4225,1,6/26/2024 3:33
244,855227,2052,3,3/21/2024 6:38
