ViewID,UserID,ContentID,WatchDuration,Timestamp
1,407359,4400,106,2/1/2024 5:55
2,535364,3374,80,8/4/2024 19:52
3,28045,3139,59,3/7/2024 11:30
4,145440,1381,9,2/3/2024 22:53
5,408344,1356,27,10/16/2024 4:10
6,587896,3108,79,7/13/2024 1:17
7,143571,284,1,8/20/2024 12:49
8,319732,478,67,3/15/2024 15:22
9,139445,684,105,4/22/2024 2:10
10,443204,2172,67,6/29/2024 18:20
11,114177,1240,60,10/11/2024 15:52
12,630839,3149,32,1/17/2024 8:06
13,407333,4880,9,10/27/2024 21:20
14,392424,4044,16,6/7/2024 3:28
15,81867,4067,25,5/14/2024 21:37
16,638641,1686,49,5/29/2024 20:04
17,332074,1921,24,1/12/2024 19:27
18,561371,1360,69,5/2/2024 22:08
19,174300,3687,74,3/25/2024 3:38
20,713041,1621,66,10/15/2024 10:06
21,859654,1607,82,11/21/2024 0:40
22,976753,4839,107,7/19/2024 14:50
23,949622,4528,80,8/16/2024 22:27
24,266207,3960,88,5/20/2024 17:37
25,961813,4547,48,10/31/2024 12:52
26,587909,1324,15,6/14/2024 20:41
27,532063,171,71,1/2/2024 16:57
28,401699,4985,3,3/11/2024 12:11
29,424110,2846,93,10/4/2024 18:16
30,872826,602,23,10/31/2024 0:37
31,21808,4258,119,8/28/2024 7:14
32,205489,4840,101,6/15/2024 1:40
33,92349,1373,58,2/13/2024 18:09
34,168194,2636,71,3/28/2024 16:33
35,822230,534,41,7/28/2024 21:09
36,699109,668,84,5/11/2024 15:14
37,648431,1770,42,11/17/2024 22:40
38,333979,750,113,1/17/2024 14:45
39,407573,3755,25,11/1/2024 4:01
40,628340,3945,109,2/17/2024 16:00
41,671702,2515,79,7/26/2024 22:48
42,270344,2693,29,9/17/2024 6:35
43,195557,2061,109,1/24/2024 9:35
44,411087,830,59,5/28/2024 14:15
45,775919,2471,93,11/28/2024 0:22
46,709364,2602,25,9/5/2024 23:55
47,933520,4679,26,5/21/2024 5:19
48,84863,3315,25,7/29/2024 22:44
49,871752,3724,46,5/1/2024 7:44
50,741561,3443,3,4/30/2024 1:26
51,114446,3282,84,9/1/2024 7:53
52,695948,1518,58,8/28/2024 12:46
53,403522,1511,23,9/23/2024 11:35
54,629206,1825,84,1/6/2024 8:05
55,502681,1830,9,1/9/2024 6:56
56,398535,4764,93,9/11/2024 4:16
57,165023,3656,29,8/18/2024 17:25
58,236116,4060,2,11/29/2024 3:24
59,704382,4986,71,9/13/2024 8:55
60,430481,3141,68,1/3/2024 23:33
61,795419,4775,75,10/18/2024 19:09
62,956628,4779,107,6/1/2024 6:30
63,743168,4995,46,10/5/2024 0:25
64,508245,3654,29,4/14/2024 5:44
65,576474,415,46,5/2/2024 7:35
66,230902,1254,62,3/19/2024 1:43
67,162222,3609,30,2/29/2024 9:01
68,282228,2575,52,8/16/2024 21:40
69,618209,3973,105,3/3/2024 10:47
70,330912,2204,53,11/3/2024 0:56
71,534631,2487,56,3/23/2024 1:24
72,610937,2082,115,1/25/2024 1:15
73,33667,1044,84,11/23/2024 1:03
74,182611,347,9,1/31/2024 10:43
75,86135,2575,44,4/13/2024 23:03
76,556874,123,68,7/31/2024 8:20
77,211745,3888,111,4/27/2024 9:59
78,7156,648,87,11/10/2024 10:51
79,967013,682,42,3/11/2024 22:35
80,431248,2081,75,1/16/2024 20:02
81,990378,4624,67,5/8/2024 10:58
82,90396,4187,103,5/23/2024 12:40
83,405009,4177,102,5/9/2024 5:22
84,971931,528,78,3/24/2024 4:58
85,407489,2777,70,5/26/2024 4:09
86,920472,2389,94,6/13/2024 2:59
87,849196,3095,23,4/2/2024 1:44
88,790393,2961,81,4/24/2024 22:06
89,707601,2805,70,1/8/2024 17:37
90,333185,4601,96,8/14/2024 22:51
91,390897,2885,58,11/2/2024 11:05
92,415457,1904,96,10/5/2024 7:16
93,661048,3333,26,7/31/2024 17:38
94,312692,766,44,2/25/2024 19:12
95,159164,4066,24,11/28/2024 10:50
96,404547,4464,37,10/1/2024 12:06
97,953518,2318,86,6/13/2024 4:45
98,212182,2261,58,3/22/2024 22:36
99,475386,2495,38,1/3/2024 2:56
100,76142,2781,69,1/16/2024 4:38
101,538470,2935,69,5/21/2024 8:02
102,383142,1523,11,8/22/2024 10:44
103,99709,3023,49,7/27/2024 0:53
104,837702,3140,5,7/31/2024 18:39
105,493295,3873,46,1/30/2024 12:01
106,344457,2299,20,3/6/2024 0:20
107,853657,3822,58,1/15/2024 13:26
108,61387,4284,105,2/12/2024 17:31
109,73666,1019,105,4/4/2024 20:19
